item_index,wordtype,condition,token_wav,trig_YesNo,trig_Repeat,trig_Listen
1,word,w4,altitude.wav,1,201,401
2,word,w4,applicant.wav,2,202,402
3,word,w4,cathedral.wav,3,203,403
4,word,w4,charlatan.wav,4,204,404
5,word,w4,coconut.wav,5,205,405
6,word,w4,crescendo.wav,6,206,406
7,word,w4,debacle.wav,7,207,407
8,word,w4,diaphragm.wav,8,208,408
9,word,w4,guillotine.wav,9,209,409
10,word,w4,ignition.wav,10,210,410
11,word,w4,leprosy.wav,11,211,411
12,word,w4,ligament.wav,12,212,412
13,word,w4,medieval.wav,13,213,413
14,word,w4,miracle.wav,14,214,414
15,word,w4,moccasin.wav,15,215,415
16,word,w4,narrative.wav,16,216,416
17,word,w4,porcelain.wav,17,217,417
18,word,w4,pyramid.wav,18,218,418
19,word,w4,spatula.wav,19,219,419
20,word,w4,vegetable.wav,20,220,420
21,word,w7,algebra.wav,21,221,421
22,word,w7,ancestor.wav,22,222,422
23,word,w7,appendix.wav,23,223,423
24,word,w7,arthritis.wav,24,224,424
25,word,w7,carnivore.wav,25,225,425
26,word,w7,cartilage.wav,26,226,426
27,word,w7,catalyst.wav,27,227,427
28,word,w7,cinnamon.wav,28,228,428
29,word,w7,colossus.wav,29,229,429
30,word,w7,cylinder.wav,30,230,430
31,word,w7,disaster.wav,31,231,431
32,word,w7,gluttony.wav,32,232,432
33,word,w7,impetus.wav,33,233,433
34,word,w7,magnitude.wav,34,234,434
35,word,w7,nominal.wav,35,235,435
36,word,w7,pancreas.wav,36,236,436
37,word,w7,replica.wav,37,237,437
38,word,w7,technical.wav,38,238,438
39,word,w7,triangle.wav,39,239,439
40,word,w7,variant.wav,40,240,440
1,nonword,nw4,ahlawjahns.wav,101,301,501
2,nonword,nw4,ahvehktraan.wav,102,302,502
3,nonword,nw4,aolsernaht.wav,103,303,503
4,nonword,nw4,brehjahtiy.wav,104,304,504
5,nonword,nw4,dahkaypahl.wav,105,305,505
6,nonword,nw4,dehgahlihkt.wav,106,306,506
7,nonword,nw4,dehkowdahns.wav,107,307,507
8,nonword,nw4,faedahltiy.wav,108,308,508
9,nonword,nw4,fihsahmahnt.wav,109,309,509
10,nonword,nw4,gihmehnshahn.wav,110,310,510
11,nonword,nw4,haarjahnahl.wav,111,311,511
12,nonword,nw4,ihnlahdehl.wav,112,312,512
13,nonword,nw4,kahrteyjahn.wav,113,313,513
14,nonword,nw4,mahkownihk.wav,114,314,514
15,nonword,nw4,nehlahsahs.wav,115,315,515
16,nonword,nw4,perehktihv.wav,116,316,516
17,nonword,nw4,puhlahtahn.wav,117,317,517
18,nonword,nw4,rahtahtahl.wav,118,318,518
19,nonword,nw4,rehgahmahnt.wav,119,319,519
20,nonword,nw4,vaytihkahl.wav,120,320,520
21,nonword,nw7,aartahstrah.wav,121,321,521
22,nonword,nw7,aebdahkshaen.wav,122,322,522
23,nonword,nw7,aelkahhaazh.wav,123,323,523
24,nonword,nw7,ahkrihlihng.wav,124,324,524
25,nonword,nw7,daynaemihsh.wav,125,325,525
26,nonword,nw7,dehnsahter.wav,126,326,526
27,nonword,nw7,dihplahmuwt.wav,127,327,527
28,nonword,nw7,ehmbaarguh.wav,128,328,528
29,nonword,nw7,ihntehster.wav,129,329,529
30,nonword,nw7,ihntervahzh.wav,130,330,530
31,nonword,nw7,ihnvahlahn.wav,131,331,531
32,nonword,nw7,ihrahtahnz.wav,132,332,532
33,nonword,nw7,jehnahtahn.wav,133,333,533
34,nonword,nw7,kaenahstay.wav,134,334,534
35,nonword,nw7,mehrahthaaz.wav,135,335,535
36,nonword,nw7,prehjahdahl.wav,136,336,536
37,nonword,nw7,priymiyahsh.wav,137,337,537
38,nonword,nw7,rehjahstruw.wav,138,338,538
39,nonword,nw7,saekrahliht.wav,139,339,539
40,nonword,nw7,saengktahshiy.wav,140,340,540
